id,store_name,average_response_time,successful_transactions,number_of_workday,cancelled_transactions,average_review_score
2205,Kuphal-Cummerata,823 Minute(s),65915,4 Day(s),2403,4.07
2206,"Rippin, Cassin and Walter",32 Minute(s),269547,4 Day(s),433,2.18
2207,Krajcik-Waelchi,168 Minute(s),173030,4 Day(s),1086,3.68
2208,Erdman Group,284 Minute(s),234550,6 Day(s),1026,4.75
2209,Grady-Larkin,66 Minute(s),110061,5 Day(s),269,4.88
2210,"Hermann, Torphy and Abernathy",568 Minute(s),72634,5 Day(s),1998,2.73
2211,"McKenzie, Ward and Raynor",244 Minute(s),183986,7 Day(s),1218,3.88
2212,Mosciski-Stroman,452 Minute(s),163915,6 Day(s),1440,3.43
2213,O'Kon-Hane,26 Minute(s),111255,7 Day(s),542,3.98
2214,Armstrong Group,1336 Minute(s),60107,3 Day(s),1539,3.22
2215,Muller-MacGyver,1071 Minute(s),34835,4 Day(s),1934,2.99
2216,"Ziemann, Legros and Gottlieb",575 Minute(s),79222,4 Day(s),1752,3.04
2217,"Boehm, Heidenreich and Crona",387 Minute(s),155318,5 Day(s),1451,3.49
2218,Kemmer and Sons,56 Minute(s),281237,6 Day(s),694,3.84
2219,Medhurst Inc,225 Minute(s),209339,7 Day(s),204,3.37
2220,Wunsch Group,285 Minute(s),134082,4 Day(s),1499,3.74
2221,Tromp Inc,13 Minute(s),280752,3 Day(s),2323,3.07
2222,Jenkins Inc,632 Minute(s),100355,4 Day(s),2753,2.58
2223,Hauck Group,11 Minute(s),125237,6 Day(s),41,4.26
2224,Frami-Bernhard,232 Minute(s),180126,6 Day(s),1293,3.5
2225,Raynor-McGlynn,399 Minute(s),133350,3 Day(s),1470,4.42
2226,"Braun, Reilly and Streich",456 Minute(s),218408,6 Day(s),1254,3.59
2227,"Abshire, Harris and Weimann",658 Minute(s),30412,5 Day(s),1899,4.05
2228,Conn Inc,596 Minute(s),218286,4 Day(s),1588,4.39
2229,Schmidt-Oberbrunner,990 Minute(s),89105,3 Day(s),1672,3.28
2230,Leuschke Inc,963 Minute(s),105672,5 Day(s),2926,3.35
2231,Windler-Mayer,1200 Minute(s),85502,4 Day(s),2593,3.09
2232,McKenzie LLC,1165 Minute(s),96181,4 Day(s),2191,3.32
2233,Johns LLC,608 Minute(s),40823,3 Day(s),1750,3.13
2234,"Kilback, Schuster and Robel",185 Minute(s),81284,7 Day(s),323,4.14
2235,"Hermann, Pacocha and Satterfield",183 Minute(s),71701,6 Day(s),559,4.29
2236,"Boyle, Harvey and Walsh",710 Minute(s),69942,5 Day(s),1642,3.15
2237,Hoeger Inc,48 Minute(s),98424,7 Day(s),479,4.92
2238,Hudson-Schmeler,482 Minute(s),180897,6 Day(s),1374,3.55
2239,Schulist and Sons,416 Minute(s),209142,4 Day(s),1173,4.11
2240,"Heathcote, Beer and Corwin",146 Minute(s),117917,7 Day(s),440,4.77
2241,Gutkowski-Conroy,68 Minute(s),122792,4 Day(s),58,4.3
2242,"Oberbrunner, Goodwin and Schultz",811 Minute(s),80801,3 Day(s),2869,3.08
2243,"O'Keefe, McCullough and Swift",512 Minute(s),214742,7 Day(s),1134,3.37
2244,Berge Inc,774 Minute(s),43935,3 Day(s),2300,3.39
2245,Heathcote Inc,913 Minute(s),67256,2 Day(s),1834,3.13
2246,"Homenick, Lehner and Simonis",682 Minute(s),83724,5 Day(s),2055,3.39
2247,Kuvalis LLC,1220 Minute(s),63039,3 Day(s),1812,3.53
2248,"Schmitt, Moore and Kub",443 Minute(s),167749,4 Day(s),1102,3.76
2249,Ziemann Inc,120 Minute(s),121561,5 Day(s),261,3.56
2250,Schaefer LLC,48 Minute(s),299839,7 Day(s),241,4.77
2251,Crooks and Sons,1195 Minute(s),59139,3 Day(s),2130,4.16
2252,Conn-Runolfsdottir,621 Minute(s),61661,5 Day(s),2239,4.02
2253,Donnelly and Sons,648 Minute(s),98275,2 Day(s),2815,3.13
2254,"Runolfsson, Gislason and Bauch",378 Minute(s),193066,6 Day(s),1173,4.19
2255,Adams-Wehner,1414 Minute(s),33702,3 Day(s),1952,3.3
2256,McGlynn LLC,8 Minute(s),212184,7 Day(s),246,3.96
2257,Mraz-Douglas,227 Minute(s),77195,6 Day(s),177,3.89
2258,Hettinger-Williamson,94 Minute(s),165246,6 Day(s),735,3.4
2259,Schamberger and Sons,762 Minute(s),42352,5 Day(s),2453,2.88
2260,Hayes-Gutmann,585 Minute(s),196967,6 Day(s),1332,3.91
2261,Jaskolski LLC,165 Minute(s),202238,7 Day(s),631,4.31
2262,Fisher-Smith,67 Minute(s),216393,4 Day(s),494,4.15
2263,"Heaney, Reilly and Miller",1238 Minute(s),39153,5 Day(s),1779,3.72
2264,"Walter, Ritchie and Kessler",719 Minute(s),39872,5 Day(s),2382,3.08
2265,"Kiehn, Stanton and Hirthe",167 Minute(s),216649,6 Day(s),1259,4.38
2266,Osinski-Thompson,190 Minute(s),191659,7 Day(s),1275,4.52
2267,Tremblay-Braun,194 Minute(s),229231,3 Day(s),434,2.54
2268,Schinner-Adams,379 Minute(s),166696,3 Day(s),905,4.05
2269,"Borer, Beer and Fahey",203 Minute(s),110907,6 Day(s),366,4.91
2270,"Leuschke, Auer and Wolf",317 Minute(s),162803,7 Day(s),914,3.67
2271,Blick Group,666 Minute(s),107595,2 Day(s),2304,3.5
2272,"Kovacek, Zemlak and Boyle",296 Minute(s),171482,7 Day(s),1313,3.36
2273,Parisian-Kreiger,157 Minute(s),208182,7 Day(s),56,3.47
2274,"Mayert, Rosenbaum and Glover",172 Minute(s),207949,6 Day(s),1167,4.46
2275,"Upton, Green and Becker",71 Minute(s),268572,6 Day(s),479,4.9
2276,Wisozk Group,951 Minute(s),119790,5 Day(s),2580,2.23
2277,"Gaylord, Collins and Shields",1418 Minute(s),57935,5 Day(s),1617,3.49
2278,Olson-Carroll,630 Minute(s),80094,3 Day(s),2637,2.22
2279,Osinski-Feest,1007 Minute(s),86476,6 Day(s),1982,3.77
2280,"Mayer, Toy and Bode",288 Minute(s),203144,5 Day(s),1341,3.57
2281,Parker-Kuphal,643 Minute(s),51579,3 Day(s),1936,3.51
2282,Donnelly Group,7 Minute(s),104286,7 Day(s),873,4.75
2283,Friesen-Daniel,679 Minute(s),79100,3 Day(s),2042,4.4
2284,Considine LLC,20 Minute(s),292678,6 Day(s),423,4.91
2285,Rempel Inc,945 Minute(s),111651,5 Day(s),2992,2.86
2286,Fahey-McClure,77 Minute(s),253279,4 Day(s),300,2.87
2287,"Bergstrom, Ritchie and Hermann",56 Minute(s),291533,3 Day(s),2768,2.87
2288,"Collins, Hilpert and Schamberger",138 Minute(s),228083,7 Day(s),611,3.62
2289,Keebler Inc,615 Minute(s),112173,3 Day(s),2135,4.23
2290,Nikolaus-Zemlak,769 Minute(s),47906,2 Day(s),2594,3.52
2291,Medhurst and Sons,122 Minute(s),205705,5 Day(s),608,3.36
2292,Kohler Inc,380 Minute(s),173460,3 Day(s),1370,3.52
2293,Franecki Inc,167 Minute(s),88169,4 Day(s),534,4.2
2294,Dach-Gleichner,73 Minute(s),152894,6 Day(s),433,3.71
2295,"Durgan, Shields and Kihn",16 Minute(s),272318,4 Day(s),409,2.31
2296,Bogisich-Glover,582 Minute(s),114378,6 Day(s),1812,4.05
2297,Lubowitz-Wolff,139 Minute(s),204728,6 Day(s),210,4.47
2298,Feil-Franecki,448 Minute(s),217316,6 Day(s),1289,3.9
2299,Little-Fahey,427 Minute(s),146294,6 Day(s),1482,4.57
2300,"Langworth, Rosenbaum and Kub",168 Minute(s),124856,6 Day(s),57,4.83
2301,Wilkinson-Krajcik,668 Minute(s),61534,3 Day(s),2572,2.89
2302,Beier-Tremblay,215 Minute(s),86510,4 Day(s),1325,3.51
2303,Boehm-Koelpin,189 Minute(s),204923,4 Day(s),1021,3.32
2304,Dare LLC,57 Minute(s),117383,6 Day(s),163,4.47
2305,"Blanda, Turcotte and Terry",1398 Minute(s),103166,4 Day(s),2670,2.4
2306,"Cruickshank, Bartell and McDermott",916 Minute(s),32546,3 Day(s),2042,3.05
2307,"Hayes, Prohaska and Conn",597 Minute(s),157428,5 Day(s),1326,3.95
2308,Hammes-Fay,163 Minute(s),269506,5 Day(s),31,3.52
2309,Wehner-Fahey,98 Minute(s),269217,5 Day(s),280,3.6
2310,Mann-Conn,178 Minute(s),202207,5 Day(s),62,4.17
2311,O'Connell-Fay,323 Minute(s),120825,6 Day(s),1069,4.16
2312,Davis LLC,988 Minute(s),90613,4 Day(s),2049,3.18
2313,Swaniawski Inc,819 Minute(s),74333,3 Day(s),1874,3.55
2314,Ankunding-Ernser,845 Minute(s),40003,4 Day(s),2144,4.19
2315,Romaguera-Pollich,459 Minute(s),214295,6 Day(s),1120,4.27
2316,"Quigley, Larkin and Fisher",1043 Minute(s),115769,6 Day(s),1705,3.88
2317,Larson-Schulist,202 Minute(s),105101,6 Day(s),1146,4.32
2318,VonRueden-Huel,100 Minute(s),176867,7 Day(s),265,3.28
2319,Hermann-Windler,883 Minute(s),43021,4 Day(s),2541,4.17
2320,Feest LLC,154 Minute(s),213107,6 Day(s),236,4.25
2321,Torphy Inc,162 Minute(s),202105,7 Day(s),519,3.46
2322,"Watsica, Anderson and Barton",53 Minute(s),73043,6 Day(s),699,4.37
2323,Franecki LLC,122 Minute(s),141771,7 Day(s),26,4.4
2324,"Stroman, Kling and Weissnat",1356 Minute(s),99685,6 Day(s),1740,4.39
2325,"Buckridge, Emmerich and Kautzer",569 Minute(s),101698,5 Day(s),1663,4.23
2326,Christiansen Group,125 Minute(s),190503,3 Day(s),906,4.34
2327,Little-O'Connell,9 Minute(s),299511,5 Day(s),421,3.69
2328,"Kirlin, Zboncak and Ferry",594 Minute(s),123461,4 Day(s),1688,4.11
2329,Keeling Inc,972 Minute(s),30920,2 Day(s),2515,4.19
2330,"Crooks, Block and Larson",1 Minute(s),252890,4 Day(s),2652,2.67
2331,Bartoletti-Blanda,707 Minute(s),115255,4 Day(s),2417,3.39
2332,"Sipes, Miller and Herzog",176 Minute(s),101309,7 Day(s),465,4.26
2333,"Pacocha, Ullrich and Haag",169 Minute(s),156335,4 Day(s),117,4.93
2334,Collins-Kilback,285 Minute(s),169304,5 Day(s),1130,3.69
2335,Jerde and Sons,157 Minute(s),193574,6 Day(s),1165,3.14
2336,Lind and Sons,138 Minute(s),76196,7 Day(s),697,3.77
2337,"Durgan, Reichert and Hilll",571 Minute(s),53941,6 Day(s),1844,4.22
2338,Schamberger-Leuschke,82 Minute(s),223284,7 Day(s),229,4.76
2339,"Batz, Cummerata and Cummerata",402 Minute(s),145740,4 Day(s),1108,4.63
2340,"Grant, Blanda and O'Kon",304 Minute(s),187365,6 Day(s),1113,4.45
2341,"Murazik, Swift and Blick",429 Minute(s),139801,4 Day(s),1266,4.31
2342,"Fay, Connelly and Kling",1223 Minute(s),63219,4 Day(s),2044,3.07
2343,Harvey-Little,494 Minute(s),179618,6 Day(s),1148,3.67
2344,Nikolaus-Breitenberg,312 Minute(s),143853,6 Day(s),1109,3.61
2345,Cummings-Yundt,319 Minute(s),196366,6 Day(s),1286,4.33
2346,Parker-Mann,329 Minute(s),114067,6 Day(s),1237,4.37
2347,Carter-Ernser,420 Minute(s),198918,7 Day(s),1247,4.45
2348,Rippin Group,263 Minute(s),163390,4 Day(s),1256,4.54
2349,Ernser LLC,741 Minute(s),69021,3 Day(s),1507,3.17
2350,"Mohr, Rippin and Ryan",46 Minute(s),224587,7 Day(s),119,4.99
2351,Nolan LLC,133 Minute(s),229081,6 Day(s),443,3.68
2352,"Bayer, Pfannerstill and Zieme",939 Minute(s),106865,5 Day(s),2390,3.54
2353,Kohler Inc,101 Minute(s),205635,5 Day(s),588,4.47
2354,DuBuque Group,523 Minute(s),158584,6 Day(s),1523,4.07
2355,Little LLC,521 Minute(s),188206,5 Day(s),1498,3.81
2356,Mosciski-Walsh,251 Minute(s),173857,5 Day(s),1311,4.59
2357,Heaney and Sons,1355 Minute(s),68369,4 Day(s),2179,4.03
2358,"Schinner, Schuppe and Trantow",60 Minute(s),203173,7 Day(s),171,4.73
2359,"Gaylord, Vandervort and Dicki",468 Minute(s),78167,4 Day(s),1352,4.84
2360,Wolf-Hamill,2 Minute(s),177102,4 Day(s),1063,4.26
2361,Buckridge Inc,606 Minute(s),58510,6 Day(s),1716,3.53
2362,Gleichner-Nitzsche,111 Minute(s),224612,4 Day(s),2604,2.72
2363,Ritchie-Brown,29 Minute(s),117273,5 Day(s),215,4.85
2364,"Jacobson, Hegmann and Trantow",1227 Minute(s),50298,2 Day(s),2262,2.91
2365,Emard-Hansen,130 Minute(s),194528,3 Day(s),1032,3.88
2366,Rice-Walter,1434 Minute(s),68992,3 Day(s),2063,3.38
2367,"Yost, Braun and Larson",123 Minute(s),217440,6 Day(s),240,4.35
2368,Cole Group,180 Minute(s),127770,6 Day(s),952,4.53
2369,"Parisian, O'Conner and Goodwin",126 Minute(s),133180,7 Day(s),385,3.63
2370,"Runolfsdottir, Howell and Lakin",461 Minute(s),193934,5 Day(s),1066,3.71
2371,"Stracke, Christiansen and Crooks",1283 Minute(s),37927,5 Day(s),2047,3.04
2372,Johns and Sons,1176 Minute(s),77816,3 Day(s),2285,3.44
2373,Hills LLC,208 Minute(s),112120,6 Day(s),392,4.18
2374,"Nicolas, Macejkovic and Nienow",57 Minute(s),91181,5 Day(s),181,4.21
2375,Kessler-Harvey,5 Minute(s),167490,6 Day(s),345,3.56
2376,Lubowitz-Sauer,15 Minute(s),248149,3 Day(s),517,2.73
2377,Koss-Fritsch,79 Minute(s),168669,7 Day(s),567,4.08
2378,Hahn-Reilly,164 Minute(s),126414,5 Day(s),567,3.32
2379,"Crona, Homenick and Hand",479 Minute(s),139640,6 Day(s),1187,3.7
2380,Bailey and Sons,250 Minute(s),158746,6 Day(s),1010,4.63
2381,Reinger Inc,55 Minute(s),287726,7 Day(s),207,4.16
2382,Kunde-Tillman,143 Minute(s),219546,7 Day(s),675,4.83
2383,"Kris, Crooks and Beahan",533 Minute(s),217890,5 Day(s),1502,4.63
2384,Lynch Group,13 Minute(s),291331,6 Day(s),49,4.9
2385,"Bechtelar, Hagenes and Mraz",410 Minute(s),202733,6 Day(s),1554,4.03
2386,Homenick and Sons,50 Minute(s),258686,5 Day(s),128,4.04
2387,Lynch-Carter,103 Minute(s),116713,5 Day(s),277,4.72
2388,"Wuckert, Hilll and Gibson",1197 Minute(s),73077,4 Day(s),2007,3.88
2389,Ebert Inc,410 Minute(s),103225,6 Day(s),1099,4.01
2390,Sipes Group,1396 Minute(s),92123,4 Day(s),2555,2.19
2391,VonRueden LLC,1039 Minute(s),44299,4 Day(s),1581,2.84
2392,Schroeder Group,196 Minute(s),260118,3 Day(s),185,3.07
2393,Homenick Group,165 Minute(s),94916,7 Day(s),400,3.55
2394,Ortiz and Sons,742 Minute(s),54150,5 Day(s),1837,3.18
2395,"Runolfsson, Borer and Kuhn",480 Minute(s),66637,5 Day(s),1763,3.54
2396,Greenfelder LLC,8 Minute(s),183426,5 Day(s),299,4.07
2397,Schmeler-McLaughlin,236 Minute(s),104575,5 Day(s),671,4.11
2398,Pacocha-Rau,302 Minute(s),218916,3 Day(s),1317,3.62
2399,"Denesik, Ziemann and Feil",8 Minute(s),289702,3 Day(s),127,2.64
2400,"Wolff, Cummings and Hermiston",170 Minute(s),189400,5 Day(s),1262,4.23
2401,Gaylord LLC,79 Minute(s),126272,5 Day(s),528,4.47
2402,Stamm-Abbott,106 Minute(s),236073,7 Day(s),532,4.74
2403,Bogan LLC,379 Minute(s),145097,4 Day(s),560,4.54
2404,Greenfelder-Block,85 Minute(s),85822,6 Day(s),531,4.4
2405,Gerlach-Stoltenberg,943 Minute(s),54474,3 Day(s),2077,3.13
2406,"Feest, Sipes and Langosh",125 Minute(s),271872,6 Day(s),48,4.35
2407,"Murazik, Ernser and Yundt",139 Minute(s),221707,7 Day(s),162,3.81
2408,"Balistreri, Lesch and McClure",145 Minute(s),87491,6 Day(s),110,4.91
2409,Lebsack and Sons,214 Minute(s),70787,5 Day(s),719,4.82
2410,Bradtke-Goodwin,86 Minute(s),73630,7 Day(s),229,4.56
2411,Cartwright Group,550 Minute(s),143161,3 Day(s),1071,3.74
2412,Upton-Rogahn,53 Minute(s),168060,4 Day(s),292,3.57
2413,"Parker, Crist and Moore",502 Minute(s),191264,6 Day(s),1199,4.41
2414,Hilpert-Beahan,50 Minute(s),287391,3 Day(s),557,2.71
2415,Huel Group,347 Minute(s),197578,6 Day(s),1596,4.37
2416,Bednar-Davis,1183 Minute(s),55520,5 Day(s),2020,3.3
2417,"Dare, Swaniawski and Borer",389 Minute(s),176260,6 Day(s),1269,4.58
2418,Hagenes Group,373 Minute(s),203523,7 Day(s),1268,3.6
2419,"Cartwright, Heller and Boehm",392 Minute(s),160515,7 Day(s),1335,3.25
2420,Collier and Sons,790 Minute(s),96453,3 Day(s),2019,3.1
2421,Crist Group,344 Minute(s),219217,3 Day(s),1083,3.77
2422,"Prohaska, Mueller and Block",980 Minute(s),100216,3 Day(s),1736,3.7
2423,"Muller, Rippin and Glover",36 Minute(s),214476,6 Day(s),597,3.62
2424,Fahey-Medhurst,523 Minute(s),31641,3 Day(s),2399,3.26
2425,Funk and Sons,301 Minute(s),187008,6 Day(s),1102,4.38
2426,"Lind, Little and Cronin",282 Minute(s),219174,7 Day(s),1365,3.86
2427,Feest and Sons,540 Minute(s),192410,3 Day(s),1285,4.08
2428,"Kling, Labadie and Crona",257 Minute(s),155866,6 Day(s),1348,4.42
2429,Pouros LLC,1131 Minute(s),53261,5 Day(s),1914,2.86
2430,Padberg Inc,209 Minute(s),129407,5 Day(s),1353,3.22
2431,"Witting, Klein and Stamm",178 Minute(s),141860,7 Day(s),732,3.43
2432,"Watsica, McKenzie and Schroeder",193 Minute(s),96590,7 Day(s),668,4.73
2433,Hettinger-Bergstrom,826 Minute(s),51411,3 Day(s),2581,3.21
2434,"Labadie, Schoen and Thiel",684 Minute(s),44223,5 Day(s),1607,3.86
2435,"Towne, Grady and Cummings",517 Minute(s),131385,4 Day(s),1039,3.6
2436,Schumm-Grimes,355 Minute(s),160775,6 Day(s),1341,4.36
2437,Macejkovic LLC,1043 Minute(s),66405,4 Day(s),1818,3.02
2438,Schaden-Morar,1386 Minute(s),50350,4 Day(s),1583,2.91
2439,"Boyle, Bins and Koepp",1384 Minute(s),65499,4 Day(s),1728,2.82
2440,Ledner Inc,7 Minute(s),118828,5 Day(s),231,3.58
2441,"Lesch, Schoen and Leuschke",620 Minute(s),48500,2 Day(s),2026,3.84
2442,Schroeder-Schneider,1083 Minute(s),81904,3 Day(s),2704,2.5
2443,Bechtelar-Shanahan,762 Minute(s),96652,2 Day(s),2887,3.1
2444,"Swaniawski, Zieme and Gaylord",146 Minute(s),93884,5 Day(s),607,4.2
2445,Volkman-Walter,168 Minute(s),267449,4 Day(s),2352,2.42
2446,Larkin-Quitzon,138 Minute(s),121357,5 Day(s),727,4.36
2447,Wilderman-Marks,20 Minute(s),226192,7 Day(s),102,4.79
2448,Barrows Group,68 Minute(s),255216,7 Day(s),211,4.99
2449,"Yost, Dibbert and O'Hara",1394 Minute(s),62971,6 Day(s),1814,3.78
2450,Gibson Group,62 Minute(s),290130,6 Day(s),87,4.18
2451,"Bahringer, Lebsack and Wolf",482 Minute(s),209546,6 Day(s),1139,4.01
2452,Kirlin LLC,59 Minute(s),104704,7 Day(s),615,3.61
2453,Maggio Group,922 Minute(s),125329,5 Day(s),1555,4.04
2454,"Barton, Rosenbaum and Wilderman",244 Minute(s),179205,7 Day(s),1106,3.45
2455,Thiel-Rutherford,199 Minute(s),217542,6 Day(s),1342,4.48
2456,"Kunze, Breitenberg and Lehner",1122 Minute(s),77321,3 Day(s),1586,2.72
2457,Lind Group,125 Minute(s),263038,3 Day(s),416,2.3
2458,Hickle-Koch,86 Minute(s),77864,7 Day(s),443,4.4
2459,"D'Amore, VonRueden and Walker",477 Minute(s),195000,7 Day(s),137,4.4
2460,Leuschke Inc,815 Minute(s),125888,4 Day(s),2506,2.68
2461,Turcotte and Sons,115 Minute(s),294633,4 Day(s),180,2.74
2462,Breitenberg-Fahey,300 Minute(s),124890,4 Day(s),1216,4.64
2463,Emmerich-Kilback,170 Minute(s),273200,4 Day(s),475,2.64
2464,Boyer-Mitchell,108 Minute(s),158179,7 Day(s),964,4.62
2465,Hudson-Will,270 Minute(s),162782,6 Day(s),1235,3.66
2466,Nicolas LLC,202 Minute(s),132807,3 Day(s),1040,3.61
2467,Gorczany and Sons,136 Minute(s),228595,7 Day(s),503,4.0
2468,"Dietrich, Wehner and O'Reilly",847 Minute(s),82724,2 Day(s),2833,2.63
2469,Walker-Jast,23 Minute(s),158257,6 Day(s),208,4.47
2470,Ferry-Schmeler,278 Minute(s),85620,4 Day(s),337,3.89
2471,Hudson-Leuschke,274 Minute(s),157403,6 Day(s),1358,4.08
2472,Kuhn and Sons,1045 Minute(s),68030,4 Day(s),1779,3.77
2473,"Greenfelder, Renner and Cummerata",16 Minute(s),72956,5 Day(s),342,4.22
2474,Nolan LLC,236 Minute(s),199450,5 Day(s),1240,3.7
2475,Romaguera-Zboncak,41 Minute(s),129396,7 Day(s),492,3.77
2476,Goldner-Weimann,116 Minute(s),126553,4 Day(s),108,4.86
2477,"Stamm, Lakin and Hettinger",163 Minute(s),228379,6 Day(s),436,3.65
2478,Treutel-Hintz,164 Minute(s),202621,5 Day(s),250,4.01
2479,Jacobs LLC,239 Minute(s),193301,4 Day(s),1082,3.23
2480,"Trantow, Wolff and Weissnat",1311 Minute(s),56605,3 Day(s),1970,3.27
2481,Reichert Inc,233 Minute(s),198061,6 Day(s),1407,4.63
2482,Lesch-Hettinger,914 Minute(s),119433,2 Day(s),2686,2.67
2483,Hessel Inc,188 Minute(s),215433,7 Day(s),1249,3.51
2484,Labadie-Pfannerstill,702 Minute(s),98168,4 Day(s),2883,2.42
2485,Daniel and Sons,957 Minute(s),64730,2 Day(s),2123,3.89
2486,Hodkiewicz and Sons,688 Minute(s),57991,5 Day(s),1692,4.15
2487,Champlin-Cartwright,337 Minute(s),213142,7 Day(s),1353,3.83
2488,Mertz and Sons,1174 Minute(s),115119,2 Day(s),2392,3.09
2489,"Baumbach, Dibbert and Stracke",163 Minute(s),201487,5 Day(s),1393,3.56
2490,"Doyle, Franecki and Gerlach",1389 Minute(s),105092,3 Day(s),2367,3.17
2491,Walter-Strosin,900 Minute(s),119037,5 Day(s),2073,4.04
2492,Gleason-Stanton,471 Minute(s),207017,5 Day(s),1231,4.16
2493,Kassulke Inc,318 Minute(s),211206,3 Day(s),1417,4.44
2494,Botsford-Dietrich,605 Minute(s),121466,4 Day(s),2859,2.84
2495,Brakus-Flatley,234 Minute(s),195641,5 Day(s),1024,4.78
2496,Marquardt and Sons,1011 Minute(s),54552,3 Day(s),2309,2.91
2497,Pagac Inc,53 Minute(s),284760,6 Day(s),632,3.63
2498,"Schmidt, Donnelly and Hoeger",748 Minute(s),57088,4 Day(s),2525,3.23
2499,Gerlach-Hegmann,233 Minute(s),184763,7 Day(s),1216,3.42
2500,"Franecki, Berge and Runolfsson",1187 Minute(s),74999,4 Day(s),2863,3.3
2501,"Herzog, Hettinger and Barton",964 Minute(s),46812,3 Day(s),2431,3.31
2502,Ward Inc,169 Minute(s),102261,6 Day(s),733,3.73
2503,Hettinger and Sons,77 Minute(s),104951,4 Day(s),123,3.89
2504,"Legros, Moore and Kuvalis",413 Minute(s),216353,4 Day(s),1023,3.52
2505,Gottlieb Group,497 Minute(s),147876,6 Day(s),949,3.85
2506,Rice Group,387 Minute(s),59138,4 Day(s),1150,4.39
2507,Rippin LLC,44 Minute(s),193329,6 Day(s),383,4.63
2508,"Morar, Becker and Schulist",576 Minute(s),160670,5 Day(s),1088,4.28
2509,MacGyver and Sons,835 Minute(s),93443,5 Day(s),1850,3.0
2510,Krajcik-Schamberger,1408 Minute(s),56080,4 Day(s),1597,2.9
2511,"Smith, Carter and Leuschke",997 Minute(s),47202,2 Day(s),1589,3.56
2512,"Batz, Kemmer and Lubowitz",703 Minute(s),110088,3 Day(s),1844,3.52
2513,Boehm-Walker,382 Minute(s),212464,5 Day(s),1157,3.91
2514,Mertz-O'Kon,11 Minute(s),85891,5 Day(s),166,4.93
2515,"Heidenreich, Mann and Armstrong",467 Minute(s),216949,6 Day(s),953,3.69
2516,Brakus-Yundt,1275 Minute(s),59355,3 Day(s),1538,3.38
2517,Parker-Bergstrom,300 Minute(s),155223,4 Day(s),1466,4.41
2518,Dietrich-O'Conner,706 Minute(s),109499,2 Day(s),2270,2.77
2519,"Schiller, Ebert and Mills",869 Minute(s),84764,3 Day(s),1585,3.42
2520,Hansen Group,1314 Minute(s),120758,5 Day(s),2804,3.1
2521,Kuvalis-Smitham,197 Minute(s),193797,6 Day(s),1191,3.89
2522,Prosacco-Mueller,411 Minute(s),191318,5 Day(s),1177,3.42
2523,Nikolaus LLC,294 Minute(s),208933,7 Day(s),1156,3.35
2524,Beer LLC,1036 Minute(s),87667,5 Day(s),2523,3.12
2525,"Altenwerth, Simonis and Daniel",757 Minute(s),82824,5 Day(s),1766,3.26
2526,"Balistreri, Borer and Kohler",371 Minute(s),166955,6 Day(s),1389,3.76
2527,Will-Konopelski,1392 Minute(s),84432,5 Day(s),2622,3.38
2528,Bergstrom-Swaniawski,31 Minute(s),166181,6 Day(s),587,4.4
2529,Schultz LLC,506 Minute(s),34390,4 Day(s),2106,3.54
2530,Rodriguez-Mueller,935 Minute(s),67524,3 Day(s),2047,2.82
2531,Johnson and Sons,367 Minute(s),171675,7 Day(s),1112,3.56
2532,Tillman-Marvin,9 Minute(s),220493,7 Day(s),341,3.7
2533,"Jakubowski, Ondricka and Fadel",33 Minute(s),286293,7 Day(s),107,4.84
2534,Schneider Inc,50 Minute(s),256400,6 Day(s),232,4.92
2535,Walter-Hoppe,307 Minute(s),193953,5 Day(s),1320,4.57
2536,Torphy-Becker,711 Minute(s),48426,4 Day(s),2297,3.07
2537,"Howe, Konopelski and Morissette",36 Minute(s),124490,6 Day(s),225,3.98
2538,"Watsica, Robel and Hudson",562 Minute(s),217161,5 Day(s),1181,4.16
2539,"Purdy, Predovic and Lueilwitz",827 Minute(s),52444,5 Day(s),1587,2.71
2540,Goldner-Hilll,1252 Minute(s),127787,4 Day(s),2692,3.3
2541,Ondricka-Bergnaum,127 Minute(s),281129,3 Day(s),2402,3.04
2542,Okuneva LLC,292 Minute(s),154304,4 Day(s),1332,3.97
2543,Senger-McCullough,21 Minute(s),107010,7 Day(s),260,4.38
2544,Shields-Hahn,452 Minute(s),196158,6 Day(s),1153,3.93
2545,Rippin and Sons,218 Minute(s),211727,5 Day(s),1233,3.79
2546,Dach Inc,162 Minute(s),117719,7 Day(s),446,4.97
2547,Luettgen-Kris,1117 Minute(s),62995,4 Day(s),2084,3.71
2548,"Parisian, Schamberger and Thiel",566 Minute(s),218444,7 Day(s),1171,3.67
2549,McLaughlin-Greenholt,153 Minute(s),150581,6 Day(s),1309,3.34
2550,Collier-Hayes,897 Minute(s),79885,4 Day(s),1521,4.15
2551,D'Amore-Blanda,125 Minute(s),236128,4 Day(s),2611,2.32
2552,Russel LLC,144 Minute(s),73962,6 Day(s),309,4.63
2553,Schinner LLC,791 Minute(s),97411,4 Day(s),2681,2.36
2554,Bernier Inc,374 Minute(s),210508,5 Day(s),1481,4.37
2555,Douglas and Sons,1325 Minute(s),104129,4 Day(s),2443,3.47
2556,"Hills, Hodkiewicz and Lebsack",89 Minute(s),192608,5 Day(s),364,4.35
2557,Fadel LLC,2 Minute(s),269379,6 Day(s),554,4.41
2558,Rice and Sons,207 Minute(s),108628,7 Day(s),576,4.17
